"variable","HR","lower95","upper95","p.value"
"age",0.992753151633561,0.977951214275596,1.00777912608699,0.342649271646683
"gendermale",1.54456484807715,1.15514965751106,2.06525670020619,0.00335679748016232
"stage_simpleII",1.14627458977872,0.772926234715981,1.69996226826897,0.497166073436891
"stage_simpleIII",2.584200068917,1.82780012074609,3.65362159701835,7.72690542901265e-08
"stage_simpleIV",2.81709818434347,1.60532441913396,4.94357532075206,0.000306718067527574
"risk_score",2.11185543937105,1.73571392267309,2.56950949032692,8.02635460582726e-14
