"gene","HR","p.value"
"NAPSA",0.901746918033863,0.0268956924232621
"SFTPB",0.962971144709901,0.287465072828911
"CTSH",0.964719950582834,0.576185226494738
"CD99",1.19395381813209,0.0410147112045998
"CD24",0.84825021643608,0.000953333155776219
"PLAT",1.092055814988,0.0218614371146065
"PSCA",1.07220354504433,0.0314062190209484
"SFTPA1",1.02656383320374,0.316796954053347
